element_type,now_cost,team_code,total_points,web_name
2,51,3,43,Mustafi
2,52,3,44,Bellerín
2,52,3,55,Kolasinac
2,45,3,41,Maitland-Niles
2,48,3,57,Sokratis
2,50,3,10,Monreal
2,50,3,0,Koscielny
2,43,3,0,Mavropanos
2,45,3,0,Jenkinson
2,44,3,16,Holding
4,109,3,205,Aubameyang
4,92,3,118,Lacazette
4,43,3,25,Nketiah
1,48,3,114,Leno
3,69,3,53,Özil
3,67,3,4,Mkhitaryan
3,51,3,73,Xhaka
3,47,3,46,Torreira
3,42,3,0,Elneny
3,41,3,48,Guendouzi
2,57,3,94,David Luiz
1,44,3,33,Martínez
2,43,3,42,Chambers
3,52,3,57,Ceballos
2,48,3,61,Cédric
3,89,3,106,Pépé
3,53,3,30,Nelson
3,47,3,41,Willock
4,42,3,39,Martinelli
2,53,3,42,Tierney
3,47,3,71,Saka
3,43,3,4,Smith Rowe
4,44,3,0,John-Jules
2,44,3,8,Marí
2,40,3,0,Medley
1,40,3,0,Macey
2,40,3,0,Smith
2,41,7,39,El Mohamady
2,42,7,0,Chester
2,42,7,22,Taylor
2,44,7,34,Hause
4,54,7,5,Kodjia
1,43,7,15,Nyland
3,57,7,83,Hourihane
3,59,7,149,Grealish
3,52,7,93,El Ghazi
3,52,7,84,McGinn
3,48,7,0,Green
3,45,7,0,Bjarnason
3,42,7,25,Davis
3,44,7,12,Lansbury
3,57,7,17,Jota
1,43,7,59,Heaton
3,44,7,6,Drinkwater
2,43,7,80,Targett
4,54,7,67,Wesley
1,43,7,1,Steer
2,44,7,90,Mings
2,43,7,65,Konsa
2,43,7,42,Engels
2,43,7,62,Guilbert
3,52,7,98,Trézéguet
3,43,7,90,Douglas Luiz
1,42,7,0,Kalinic
3,44,7,43,Nakamba
3,45,7,4,Vassilev
1,42,7,41,Reina
4,51,7,29,Samatta
4,53,7,2,Bastón
3,45,7,0,Hayden
2,50,91,52,Steve Cook
2,48,91,79,Aké
2,42,91,3,Daniels
2,43,91,27,Mepham
2,43,91,16,Francis
2,43,91,49,Adam Smith
2,44,91,11,Kelly
2,42,91,84,Rico
2,39,91,4,Simpson
4,74,91,116,Callum Wilson
4,61,91,99,King
4,51,91,69,Solanke
4,43,91,4,Surridge
1,42,91,0,Begovic
1,42,91,0,Boruc
1,42,91,1,Travers
3,68,91,73,Fraser
3,61,91,21,Brooks
3,58,91,42,Stanislas
3,46,91,2,Ibe
3,50,91,40,Lewis Cook
3,47,91,6,Surman
3,48,91,54,Gosling
3,48,91,65,Lerma
2,43,91,39,Stacey
3,49,91,68,Billing
3,58,91,24,Danjuma
1,44,91,126,Ramsdale
3,57,91,91,Harry Wilson
3,45,91,0,Saydee
3,45,91,0,Kilkenny
3,44,91,0,Dobre
2,48,36,44,Duffy
2,43,36,62,Montoya
2,43,36,21,Bernardo
2,43,36,0,Balogun
2,42,36,3,Bong
2,48,36,128,Dunk
2,43,36,0,Clarke
4,54,36,36,Murray
4,52,36,3,Locadia
4,47,36,5,Andone
1,47,36,135,Ryan
1,39,36,0,Button
3,62,36,76,Groß
3,58,36,28,Jahanbakhsh
3,54,36,0,Izquierdo
3,53,36,0,Knockaert
3,50,36,39,Bissouma
3,48,36,78,Pröpper
3,46,36,38,March
3,42,36,0,Kayal
3,44,36,63,Stephens
3,58,36,104,Trossard
2,45,36,86,Burn
2,44,36,88,Webster
4,57,36,131,Maupay
3,47,36,80,Mooy
4,42,36,61,Connolly
2,40,36,0,Baluta
3,44,36,33,Alzate
2,39,36,9,Schelotto
2,41,36,26,Lamptey
3,54,36,12,Mac Allister
2,40,36,0,Cochrane
2,49,90,110,Mee
2,55,90,143,Tarkowski
2,42,90,48,Lowton
2,44,90,78,Bardsley
2,43,90,84,Taylor
2,43,90,21,Long
2,39,90,0,Gibson
4,61,90,61,Barnes
4,62,90,136,Wood
4,51,90,39,Vydra
1,52,90,170,Pope
1,42,90,0,Hart
3,59,90,30,Gudmundsson
3,60,90,123,McNeil
3,55,90,32,Brady
3,55,90,0,Defour
3,54,90,67,Hendrick
3,55,90,118,Westwood
3,49,90,70,Cork
3,46,90,15,Lennon
2,43,90,77,Pieters
4,57,90,100,Rodriguez
1,43,90,0,Peacock-Farrell
3,45,90,0,Goodridge
2,39,90,0,Driscoll-Glennon
2,40,90,0,Koiki
3,48,90,21,Brownhill
2,40,90,0,Dunne
2,40,90,0,Thomas
4,45,90,1,Thompson
1,40,90,0,Jensen
3,45,90,0,Benson
4,45,90,0,Mumbongo
2,61,8,100,Alonso
2,59,8,63,Rüdiger
2,61,8,130,Azpilicueta
2,54,8,19,Emerson
2,48,8,34,Christensen
2,42,8,0,Zappacosta
4,67,8,68,Giroud
1,54,8,90,Kepa
1,48,8,13,Caballero
3,73,8,168,Willian
3,68,8,32,Pedro
3,59,8,12,Loftus-Cheek
3,51,8,53,Hudson-Odoi
3,56,8,61,Barkley
3,49,8,92,Jorginho
3,50,8,57,Kanté
3,43,8,0,Ampadu
3,74,8,127,Pulisic
3,53,8,68,Kovacic
2,47,8,62,Zouma
4,73,8,153,Abraham
4,66,8,28,Batshuayi
3,52,8,0,Kenedy
3,60,8,137,Mount
2,49,8,61,James
2,42,8,48,Tomori
3,41,8,9,Gilmour
2,39,8,0,Guehi
3,45,8,1,Anjorin
4,45,8,1,Broja
3,45,8,0,Bate
2,56,31,109,van Aanholt
2,49,31,48,Tomkins
2,50,31,11,Sakho
2,43,31,77,Ward
2,43,31,51,Dann
2,41,31,64,Kelly
4,57,31,42,Benteke
4,43,31,15,Wickham
1,49,31,137,Guaita
1,42,31,7,Hennessey
3,66,31,120,Zaha
3,67,31,81,Milivojevic
3,56,31,48,Townsend
3,52,31,23,Meyer
3,54,31,51,Schlupp
3,52,31,92,McArthur
3,48,31,85,Kouyaté
3,43,31,0,Dreher
3,42,31,41,McCarthy
4,51,31,132,Ayew
2,43,31,70,Cahill
3,45,31,1,Camarasa
3,45,31,22,Riedewald
1,40,31,0,Henderson
2,39,31,0,Woods
2,40,31,4,Mitchell
3,45,31,2,Pierrick
4,45,31,0,Daly
3,45,31,0,Kirby
3,45,31,0,McGregor
2,40,31,0,Tavares
3,45,31,0,Gordon
3,56,11,52,Iwobi
2,59,11,120,Digne
2,53,11,78,Mina
2,52,11,90,Keane
2,53,11,55,Coleman
2,49,11,14,Baines
4,57,11,24,Tosun
4,61,11,126,Calvert-Lewin
1,52,11,117,Pickford
1,39,11,0,Stekelenburg
3,82,11,165,Richarlison
3,73,11,95,Sigurdsson
3,64,11,72,Bernard
3,62,11,63,Walcott
3,53,11,59,Davies
3,50,11,0,Lookman
3,50,11,0,Gueye
3,44,11,18,Schneiderlin
2,53,11,24,Delph
3,52,11,39,André Gomes
2,42,11,0,Gibson
2,42,11,71,Holgate
1,42,11,0,Lössl
4,63,11,53,Kean
3,48,11,4,Gbamin
2,50,11,74,Sidibé
3,44,11,0,Baningime
4,45,11,17,Gordon
4,45,11,3,Niasse
2,40,11,0,Cuco Martina
1,40,11,0,Virgínia
2,40,11,11,Branthwaite
4,45,11,0,Simms
2,62,13,123,Pereira
2,54,13,114,Chilwell
2,53,13,128,Evans
2,42,13,26,Fuchs
2,49,13,120,Söyüncü
2,41,13,19,Morgan
4,97,13,210,Vardy
4,57,13,64,Iheanacho
1,55,13,156,Schmeichel
1,42,13,0,Jakupovic
1,42,13,0,Ward
3,73,13,125,Maddison
3,58,13,133,Barnes
3,51,13,0,Ghezzal
3,51,13,38,Albrighton
3,50,13,44,Gray
3,50,13,85,Ndidi
3,43,13,1,James
3,42,13,0,Amartey
3,43,13,11,Mendy
3,42,13,35,Choudhury
3,60,13,129,Pérez
2,48,13,32,Bennett
2,47,13,35,Justin
3,61,13,117,Tielemans
3,42,13,0,King
3,52,13,54,Praet
2,39,13,0,Benkovic
2,40,13,15,Thomas
4,45,13,2,Hirst
2,40,13,0,Johnson
2,70,14,181,Robertson
2,77,14,210,Alexander-Arnold
2,65,14,178,van Dijk
2,53,14,93,Gomez
2,52,14,39,Matip
2,53,14,18,Lovren
4,93,14,155,Firmino
4,51,14,65,Origi
1,62,14,122,Alisson
1,45,14,0,Mignolet
3,125,14,233,Salah
3,121,14,221,Mané
3,61,14,76,Chamberlain
3,63,14,15,Shaqiri
3,57,14,27,Lallana
3,58,14,52,Keita
3,54,14,77,Fabinho
3,52,14,116,Henderson
3,54,14,107,Wijnaldum
3,53,14,49,Milner
3,45,14,0,Camacho
4,42,14,0,Brewster
1,40,14,27,Adrián
1,42,14,0,Lonergan
1,44,14,0,Kelleher
3,45,14,2,Elliott
3,45,14,13,Jones
2,40,14,14,Williams
2,39,14,0,Phillips
3,58,14,11,Minamino
2,39,14,0,Hoever
2,63,43,63,Laporte
2,57,43,114,Walker
2,55,43,74,Mendy
2,52,43,49,Zinchenko
2,53,43,34,Stones
2,48,43,82,Otamendi
2,50,43,0,Danilo
4,116,43,132,Agüero
4,99,43,146,Jesus
1,61,43,133,Ederson
1,47,43,11,Bravo
3,120,43,204,Sterling
3,106,43,251,De Bruyne
3,91,43,1,Sané
3,86,43,175,Mahrez
3,76,43,116,Bernardo Silva
3,75,43,139,David Silva
3,55,43,69,Foden
3,51,43,55,Fernandinho
3,51,43,65,Gündogan
2,46,43,11,Angeliño
3,53,43,92,Rodrigo
2,51,43,45,Cancelo
2,45,43,38,Garcia
1,40,43,0,Carson
2,40,43,0,Harwood-Bellis
3,45,43,0,Palmer
3,45,43,1,Doyle
2,55,1,127,Wan-Bissaka
2,53,1,123,Maguire
2,52,1,0,Smalling
2,54,1,24,Young
2,53,1,116,Lindelöf
2,54,1,67,Shaw
2,48,1,3,Rojo
2,47,1,9,Bailly
2,49,1,4,Dalot
2,49,1,0,Darmian
2,47,1,2,Jones
4,85,1,0,Lukaku
4,89,1,177,Rashford
4,48,1,103,Greenwood
1,53,1,143,de Gea
1,46,1,0,Romero
1,47,1,0,Grant
3,83,1,51,Pogba
3,85,1,200,Martial
3,68,1,0,Sánchez
3,63,1,32,Lingard
3,61,1,38,Mata
3,57,1,95,James
3,51,1,50,Fred
3,47,1,2,Gomes
3,47,1,60,Pereira
3,48,1,55,Matic
3,48,1,74,McTominay
3,42,1,3,Chong
3,43,1,1,Garner
2,44,1,7,Tuanzebe
2,38,1,51,Williams
3,90,1,117,Fernandes
4,59,1,11,Ighalo
2,45,1,7,Fosu-Mensah
2,53,4,74,Ritchie
2,50,4,55,Schär
2,44,4,26,Yedlin
2,46,4,102,Fernández
2,43,4,44,Dummett
2,43,4,65,Manquillo
2,43,4,24,Lejeune
2,42,4,73,Lascelles
2,43,4,49,Clark
4,51,4,9,Muto
4,50,4,0,Joselu
1,51,4,143,Dubravka
1,43,4,0,Darlow
1,39,4,0,Woodman
3,58,4,109,Almirón
3,53,4,37,Atsu
3,47,4,4,Ki Sung-yueng
3,49,4,105,Shelvey
3,50,4,44,Longstaff
3,44,4,73,Hayden
2,53,4,47,Rose
4,55,4,78,Joelinton
3,43,4,0,Colback
3,47,4,0,Murphy
2,43,4,64,Willems
3,48,4,0,Aarons
3,52,4,92,Saint-Maximin
2,43,4,37,Krafth
4,54,4,34,Carroll
3,45,4,27,Matthew Longstaff
4,50,4,58,Gayle
1,40,4,0,Elliot
3,45,4,0,Allan
2,39,4,1,Watts
2,40,4,0,Gibson
3,47,4,19,Bentaleb
3,53,4,19,Lazaro
3,45,4,0,Young
2,43,45,9,Klose
2,44,45,38,Godfrey
2,42,45,66,Aarons
2,44,45,35,Zimmermann
2,44,45,48,Lewis
2,40,45,23,Hanley
4,64,45,139,Pukki
4,52,45,13,Srbeny
1,46,45,109,Krul
1,41,45,11,McGovern
3,62,45,29,Vrancic
3,60,45,94,Buendía
3,53,45,52,Hernández
3,50,45,32,Stiepermann
3,48,45,77,McLean
3,45,45,111,Cantwell
3,43,45,16,Leitner
3,44,45,67,Tettey
3,43,45,28,Trybull
4,53,45,26,Drmic
3,50,45,3,Roberts
1,44,45,1,Fahrmann
2,43,45,32,Byram
2,39,45,0,Heise
3,45,45,18,Amadou
4,44,45,13,Idah
1,40,45,0,Mair
2,39,45,1,Famewo
3,44,45,24,Duda
3,44,45,19,Rupp
3,45,45,5,Martin
2,40,45,1,Thomas
3,45,45,0,Adshead
4,43,49,84,Mousset
