web_name,team_code,element_type,total_points,now_cost
Aubameyang,1,3,116,114
Grealish,2,3,85,78
Dunk,3,2,58,48
Pope,4,4,89,54
Tarkowski,4,2,56,53
Westwood,4,3,62,53
Ayew,6,4,48,57
Guaita,6,4,78,49
Pickford,7,4,78,48
Perez,10,3,34,60
Schmeichel,10,4,82,55
Vardy,10,4,117,102
Alexander-Arnold,11,2,102,72
Henderson,11,3,69,54
Mane,11,3,127,119
Salah,11,3,159,125
van Dijk,11,2,69,63
De Bruyne,12,3,128,118
Sterling,12,3,128,114
Greenwood,13,3,68,71
Lindelof,13,2,63,48
Martial,13,4,91,87
Fernandez,14,2,47,48
Basham,15,2,65,47
Fleck,15,3,62,56
Lundstram,15,3,48,50
Ings,16,4,78,84
Rice,19,3,52,48
Dendoncker,20,3,52,47
Jonny,20,2,58,54
Saiss,20,2,66,51
