element_type,now_cost,team_code,total_points,web_name
2,77,14,210,Alexander-Arnold
3,109,3,205,Aubameyang
4,51,31,132,Ayew
2,46,49,123,Basham
3,106,43,251,De Bruyne
3,44,39,100,Dendoncker
2,48,36,128,Dunk
2,46,4,102,Fernández
3,47,49,101,Fleck
3,59,7,149,Grealish
3,48,1,103,Greenwood
4,49,31,137,Guaita
3,52,14,116,Henderson
4,76,20,198,Ings
2,55,39,123,Jonny
2,53,1,116,Lindelöf
3,46,49,144,Lundstram
3,121,14,221,Mané
4,85,1,200,Martial
3,60,13,129,Pérez
4,52,11,117,Pickford
4,52,90,170,Pope
3,47,21,105,Rice
2,47,39,103,Saïss
3,125,14,233,Salah
4,55,13,156,Schmeichel
3,120,43,204,Sterling
2,55,90,143,Tarkowski
2,65,14,178,van Dijk
4,97,13,210,Vardy
3,55,90,118,Westwood
